1;1;100;100;
1;2;50;50;
1;3;100;90;
1;4;100;101;
2;5;100;100;
2;6;80;82;
2;7;100;90;
2;8;100;100;
3;9;35;35;
3;10;100;100;
4;11;100;95;
4;12;100;100;
4;13;50;50;
5;14;66;70;
5;1;100;100;
5;2;90;99;
6;3;100;95;
6;4;100;100;
6;5;100;100;
7;6;30;35;
7;7;100;100;
8;8;25;25;
8;9;30;31;
9;10;20;15;
9;11;100;94;
10;12;100;100;
10;13;50;50;
11;14;66;60;
11;1;100;100;
12;2;50;45;
12;3;100;95;
13;4;100;91;
13;5;100;100;
14;6;40;40;
14;7;10;10;
15;8;50;44;
15;9;45;44;
16;10;45;40;
17;11;60;61;
17;12;100;100;
18;13;120;100;
18;14;200;145;
19;1;100;100;
19;2;45;50;
20;3;77;66;
20;4;50;44;
21;5;100;90;
21;6;33;35;
22;7;13;13;
22;8;10;10;
23;9;20;21;
23;10;30;30;
24;11;5;5;
24;12;100;100;
25;13;15;15;
25;14;50;13;
26;1;100;95;
26;2;30;30;
27;3;50;50;
27;4;45;30;
28;5;30;30;
28;6;30;30;
29;7;35;35;
29;8;50;50;
30;9;25;20;
30;10;25;20;
31;11;30;30;
31;12;40;40;
32;13;100;100;
32;14;50;49;
33;1;100;78;
33;2;33;33;
34;3;100;90;
34;4;75;77;
35;5;55;55;
35;6;66;66;
36;7;70;50;
36;8;50;50;
37;9;25;25;
37;10;25;25;
38;11;33;30;
38;12;40;45;
39;13;100;100;
39;14;50;44;
40;1;100;100;
40;2;30;41;
41;3;100;90;
41;4;70;66;
42;5;55;56;
42;6;40;40;
43;7;36;35;
43;8;50;50;
44;9;30;25;
44;10;25;26;
45;11;30;33;
45;12;45;40;
46;13;100;100;
46;14;45;50;
47;1;100;95;
47;2;30;33;
48;3;90;100;
48;4;75;66;
49;5;50;50;
49;6;60;60;
50;7;50;50;
50;8;50;50;
51;9;25;20;
51;10;30;33;
52;11;40;47;
52;12;45;50;
53;13;100;100;
53;14;50;45;
54;1;100;90;
54;2;40;31;
55;3;100;90;
55;4;75;66;
56;5;66;60;
56;6;45;45;
57;7;33;33;
57;8;50;50;
58;9;33;25;
58;10;33;30;
59;11;45;44;
59;12;50;50;
60;13;100;100;
60;14;50;50;
61;1;100;75;
61;2;33;33;
62;3;90;90;
62;4;75;75;
63;5;50;50;
63;6;60;60;
64;7;33;31;
64;8;66;66;
65;9;25;25;
66;10;45;50;
67;11;50;50;
68;12;55;55;
69;13;100;50;
70;14;50;50;
71;1;100;95;
72;2;33;41;
73;3;60;90;
74;4;66;66;
75;5;50;50;
76;6;50;50;
77;7;45;50;
78;8;60;66;
79;9;30;25;
80;10;50;45;
81;11;50;55;
82;12;33;66;
83;13;100;88;
84;14;50;50;
85;1;100;99;
86;2;50;45;
87;3;85;90;
88;4;75;77;
89;5;66;50;
90;6;66;60;
91;7;33;31;
92;8;66;70;
93;9;25;30;
94;10;45;66;
95;11;55;50;
96;12;50;50;
97;13;100;87;
98;14;55;50;
99;1;100;100;
100;2;45;41;
101;3;66;67;
102;4;66;67;
103;5;50;51;
104;6;66;50;
105;7;45;40;
106;8;70;77;
107;9;33;30;
108;10;50;50;
109;11;60;60;
110;12;45;45;
111;13;100;100;
112;14;60;60;
113;1;100;95;
114;2;50;45;
115;3;90;90;
116;4;75;66;
117;5;66;66;
118;6;66;60;
119;7;40;40;
120;8;50;50;
121;9;30;33;
122;10;50;50;
123;11;56;55;
124;12;50;45;
125;13;100;100;
126;14;66;60;
127;1;100;100;
128;2;50;45;
129;3;66;70;
130;4;50;50;
131;5;55;50;
132;6;66;60;
133;7;40;40;
134;8;70;70;
135;9;33;33;
136;10;55;50;
137;11;50;50;
138;12;45;50;
139;13;100;100;
140;14;66;66;
141;1;100;95;
142;2;50;50;
143;3;90;99;
144;4;75;67;
145;5;60;50;
146;6;50;60;
147;7;45;40;
148;8;50;50;
149;9;40;33;
150;10;55;60;
151;11;50;50;
152;12;45;50;
153;13;100;100;
154;14;66;70;
155;1;100;100;
156;2;50;50;
157;3;70;66;
158;4;50;50;
159;5;60;61;
160;6;70;66;
161;7;50;40;
162;8;50;50;
163;9;33;34;
164;10;50;66;
165;11;50;50;
166;12;50;45;
167;13;100;100;
168;14;70;70;
169;1;100;100;
170;2;50;50;
171;3;90;90;
172;4;75;75;
173;5;60;59;
174;6;50;50;
175;7;45;45;
176;8;50;50;
177;9;33;33;
178;10;55;55;
179;11;50;50;
180;12;50;45;
181;13;100;99;
182;14;66;66;
183;1;100;100;
184;2;50;50;
185;3;70;70;
186;4;66;66;
187;5;66;61;
188;6;70;71;
189;7;60;50;
190;8;55;55;
191;9;33;33;
192;10;50;50;
193;11;55;55;
194;12;45;45;
195;13;100;100;
196;14;66;67;
197;1;100;100;
198;2;55;55;
199;3;90;90;
200;4;77;75;
201;5;60;66;
202;6;50;50;
203;7;50;45;
204;8;50;50;
205;9;33;33;
206;10;60;55;
207;11;50;50;
208;12;50;50;
209;13;100;88;
210;14;66;66;
211;1;100;100;
212;2;60;60;
213;3;70;70;
214;4;66;66;
215;5;60;61;
216;6;70;70;
217;7;66;66;
218;8;60;55;
219;9;45;47;
220;10;60;60;
221;11;50;50;
222;12;50;50;
223;13;100;89;
224;14;70;77;
225;1;100;100;
